,plot_id,center_lon,center_lat,size_m,shape,sample_points,email,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,pl_plotid,Land Cover Elements:Trees_CanopyCover,Land Cover Elements:bush/scrub,Land Cover Elements:grass,Land Cover Elements:cultivated vegetation,Land Cover Elements:Water>treated pool,Land Cover Elements:Water>lake/ponded/container,Land Cover Elements:Water>rivers/stream,Land Cover Elements:Water>irrigation ditch,Land Cover Elements:shadow,Land Cover Elements:unknown,Land Cover Elements:Bare Ground,Land Cover Elements:Building,Land Cover Elements:Impervious Surface (no building),AOI Number
2078,140879149,-97.76598451617816,30.276241520073985,square,100.0,100,20,False,,100.0,2021-07-24 05:44,448.6 secs,,0,5606,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,46.0,56.0
2071,140879142,-96.72736131184632,33.11809347992602,square,100.0,100,3,False,,100.0,2021-07-16 19:32,390.0 secs,,0,5536,16.0,0.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,27.0,55.0
2070,140879141,-96.7327307871078,33.11809347992602,square,100.0,100,3,False,,100.0,2021-07-16 19:25,182.1 secs,,0,5535,15.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,46.0,55.0
2069,140879140,-96.73810026236926,33.11809347992602,square,100.0,100,3,False,,100.0,2021-07-16 19:22,2850.8 secs,,0,5534,28.0,1.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,21.0,55.0
2068,140879139,-96.74346973763072,33.11809347992602,square,100.0,100,3,False,,100.0,2021-07-16 18:35,91.0 secs,,0,5533,38.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,55.0
2067,140879138,-96.7488392128922,33.11809347992602,square,100.0,100,3,False,,100.0,2021-07-16 18:33,295.0 secs,,0,5532,48.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,19.0,21.0,55.0
2066,140879137,-96.75420868815368,33.11809347992602,square,100.0,100,3,False,,100.0,2021-07-16 18:28,130.2 secs,,0,5531,0.0,0.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,55.0
2065,140879136,-96.72736131184632,33.12259008795561,square,100.0,100,3,False,,100.0,2021-07-16 18:26,214.7 secs,,0,5530,8.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,55.0
2064,140879135,-96.7327307871078,33.12259008795561,square,100.0,100,3,False,,100.0,2021-07-16 18:23,140.9 secs,,0,5529,80.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,55.0
2063,140879134,-96.73810026236926,33.12259008795561,square,100.0,100,3,False,,100.0,2021-07-16 18:20,228.0 secs,,0,5528,6.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,44.0,55.0
2062,140879133,-96.74346973763072,33.12259008795561,square,100.0,100,3,False,,100.0,2021-07-16 18:17,228.3 secs,,0,5527,8.0,0.0,28.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,52.0,55.0
2061,140879132,-96.7488392128922,33.12259008795561,square,100.0,100,3,False,,100.0,2021-07-16 18:13,262.8 secs,,0,5526,31.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,37.0,55.0
2016,140879087,-75.14739627371837,39.9974273040148,square,100.0,100,34,False,,100.0,2021-08-08 20:26,180.9 secs,,0,5418,32.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,22.0,54.0
2008,140879079,-75.15913525474367,40.0019239120444,square,100.0,100,34,False,,100.0,2021-08-08 19:41,303.1 secs,,0,5410,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,55.0,54.0
2001,140879072,-75.16500474525633,40.00642052007399,square,100.0,100,34,False,,100.0,2021-08-08 18:30,480.6 secs,,0,5403,23.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,43.0,54.0
2000,140879071,-75.17087423576898,40.00642052007399,square,100.0,100,34,False,,100.0,2021-07-22 03:34,13904.2 secs,,0,5402,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,73.0,54.0
1969,140879040,-80.85178632652278,35.1977309120444,square,100.0,100,44,False,,100.0,2021-07-16 21:59,213.4 secs,,0,5308,6.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,61.0,53.0
1968,140879039,-80.85728854420464,35.1977309120444,square,100.0,100,44,False,,100.0,2021-07-16 21:46,143.0 secs,,0,5307,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,53.0
1967,140879038,-80.82977745579537,35.20222752007399,square,100.0,100,44,False,,100.0,2021-07-16 21:56,543.5 secs,,0,5306,54.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,53.0
1966,140879037,-80.83527967347722,35.20222752007399,square,100.0,100,44,False,,100.0,2021-07-16 21:40,336.4 secs,,0,5305,9.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,48.0,53.0
1965,140879036,-80.84078189115907,35.20222752007399,square,100.0,100,44,False,,100.0,2021-07-16 21:34,346.4 secs,,0,5304,44.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,53.0
1964,140879035,-80.84628410884093,35.20222752007399,square,100.0,100,44,False,,100.0,2021-07-16 21:29,1241.4 secs,,0,5303,18.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,31.0,53.0
1963,140879034,-80.85178632652278,35.20222752007399,square,100.0,100,44,False,,100.0,2021-07-16 00:59,2669.0 secs,,0,5302,22.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,13.0,53.0
1962,140879033,-80.85728854420464,35.20222752007399,square,100.0,100,44,False,,100.0,2021-07-15 16:22,1497.5 secs,,0,5301,8.0,8.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,13.0,53.0
1961,140879032,-80.843533,35.190986,square,100.0,100,44,False,,100.0,2021-07-15 00:04,1978.8 secs,,0,5300,51.0,0.0,18.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,1.0,16.0,53.0
1954,140879025,-74.19133681224918,40.81915508795561,square,100.0,100,27,False,,100.0,2021-07-23 01:56,108.1 secs,,0,5230,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,52.0
1951,140879022,-74.20916399755016,40.81915508795561,square,100.0,100,27,False,,100.0,2021-07-22 19:39,342.3 secs,,0,5227,23.0,2.0,0.0,4.0,8.0,0.0,0.0,0.0,21.0,0.0,0.0,10.0,32.0,52.0
1948,140879019,-74.19133681224918,40.823651695985205,square,100.0,100,27,False,,100.0,2021-07-22 19:24,619.5 secs,,0,5224,8.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,3.0,52.0
1945,140879016,-74.20916399755016,40.823651695985205,square,100.0,100,27,False,,100.0,2021-07-22 19:02,138.7 secs,,0,5221,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,43.0,35.0,52.0
1942,140879013,-74.19133681224918,40.8281483040148,square,100.0,100,27,False,,100.0,2021-07-22 18:53,155.1 secs,,0,5218,14.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,26.0,28.0,52.0
1941,140879012,-74.19727920734951,40.8281483040148,square,100.0,100,27,False,,100.0,2021-07-22 18:50,187.5 secs,,0,5217,40.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,18.0,7.0,52.0
1936,140879007,-74.19133681224918,40.8326449120444,square,100.0,100,27,False,,100.0,2021-07-22 15:54,137.3 secs,,0,5212,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,52.0
1935,140879006,-74.19727920734951,40.8326449120444,square,100.0,100,27,False,,100.0,2021-07-22 15:52,282.6 secs,,0,5211,32.0,8.0,0.0,14.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,11.0,4.0,52.0
1931,140879002,-74.22104878775082,40.8326449120444,square,100.0,100,27,False,,100.0,2021-07-22 15:34,140.1 secs,,0,5207,68.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,5.0,52.0
1930,140879001,-74.19133681224918,40.83714152007399,square,100.0,100,27,False,,100.0,2021-07-22 15:32,126.2 secs,,0,5206,1.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
1928,140878999,-74.20322160244983,40.83714152007399,square,100.0,100,27,False,,100.0,2021-07-22 15:15,350.1 secs,,0,5204,38.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,31.0,0.0,0.0,9.0,11.0,52.0
1809,140878880,-97.81366873522823,30.42795447992601,square,100.0,100,66,False,,100.0,2021-07-19 02:05,168.6 secs,,0,4833,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
1808,140878879,-97.8188842056847,30.42795447992601,square,100.0,100,66,False,,100.0,2021-07-19 02:02,1247.3 secs,,0,4832,97.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
1807,140878878,-97.82409967614116,30.42795447992601,square,100.0,100,66,False,,100.0,2021-07-19 01:41,971.2 secs,,0,4831,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
1803,140878874,-97.81366873522823,30.43245108795561,square,100.0,100,66,False,,100.0,2021-07-18 15:18,124.9 secs,,0,4827,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
1970,140879041,-80.84628410884093,35.1977309120444,square,100.0,100,44,False,,100.0,2021-07-26 17:05,509.6 secs,,0,5309,34.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,19.0,53.0
1971,140879042,-80.84078189115907,35.1977309120444,square,100.0,100,44,False,,100.0,2021-07-26 17:11,365.3 secs,,0,5310,18.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,19.0,53.0
1972,140879043,-80.83527967347722,35.1977309120444,square,100.0,100,44,False,,100.0,2021-07-26 17:18,412.1 secs,,0,5311,17.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,30.0,53.0
1986,140879057,-80.85728854420464,35.18424108795561,square,100.0,100,44,False,,100.0,2021-07-27 15:01,283.6 secs,,0,5325,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,38.0,36.0,53.0
1997,140879068,-80.82977745579537,35.17974447992602,square,100.0,100,44,False,,100.0,2021-07-28 14:47,153.7 secs,,0,5336,36.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,53.0
1996,140879067,-80.83527967347722,35.17974447992602,square,100.0,100,44,False,,100.0,2021-07-28 14:44,199.6 secs,,0,5335,2.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,61.0,53.0
1995,140879066,-80.84078189115907,35.17974447992602,square,100.0,100,44,False,,100.0,2021-07-28 14:41,211.5 secs,,0,5334,66.0,2.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,53.0
1994,140879065,-80.84628410884093,35.17974447992602,square,100.0,100,44,False,,100.0,2021-07-28 14:37,93.7 secs,,0,5333,74.0,0.0,14.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
1993,140879064,-80.85178632652278,35.17974447992602,square,100.0,100,44,False,,100.0,2021-07-28 14:36,362.3 secs,,0,5332,13.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,45.0,53.0
1992,140879063,-80.85728854420464,35.17974447992602,square,100.0,100,44,False,,100.0,2021-07-27 18:01,596.6 secs,,0,5331,34.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,53.0
1991,140879062,-80.82977745579537,35.18424108795561,square,100.0,100,44,False,,100.0,2021-07-27 17:51,6851.7 secs,,0,5330,23.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,30.0,53.0
1990,140879061,-80.83527967347722,35.18424108795561,square,100.0,100,44,False,,100.0,2021-07-27 15:57,347.7 secs,,0,5329,30.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,38.0,53.0
1989,140879060,-80.84078189115907,35.18424108795561,square,100.0,100,44,False,,100.0,2021-07-27 15:51,2339.1 secs,,0,5328,37.0,6.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,53.0
1988,140879059,-80.84628410884093,35.18424108795561,square,100.0,100,44,False,,100.0,2021-07-27 15:12,226.5 secs,,0,5327,56.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,53.0
1987,140879058,-80.85178632652278,35.18424108795561,square,100.0,100,44,False,,100.0,2021-07-27 15:09,444.3 secs,,0,5326,43.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,9.0,53.0
1985,140879056,-80.82977745579537,35.18873769598521,square,100.0,100,44,False,,100.0,2021-07-27 14:56,372.5 secs,,0,5324,39.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,23.0,53.0
1973,140879044,-80.82977745579537,35.1977309120444,square,100.0,100,44,False,,100.0,2021-07-26 17:23,307.9 secs,,0,5312,11.0,1.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,39.0,53.0
1984,140879055,-80.83527967347722,35.18873769598521,square,100.0,100,44,False,,100.0,2021-07-26 18:37,195.9 secs,,0,5323,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,14.0,53.0
1983,140879054,-80.84078189115907,35.18873769598521,square,100.0,100,44,False,,100.0,2021-07-26 18:34,392.4 secs,,0,5322,51.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,23.0,53.0
1982,140879053,-80.84628410884093,35.18873769598521,square,100.0,100,44,False,,100.0,2021-07-26 18:28,151.8 secs,,0,5321,76.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,53.0
1981,140879052,-80.85178632652278,35.18873769598521,square,100.0,100,44,False,,100.0,2021-07-26 18:25,367.7 secs,,0,5320,13.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,53.0
1980,140879051,-80.85728854420464,35.18873769598521,square,100.0,100,44,False,,100.0,2021-07-26 18:19,678.1 secs,,0,5319,31.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,53.0
1979,140879050,-80.82977745579537,35.1932343040148,square,100.0,100,44,False,,100.0,2021-07-26 18:08,904.8 secs,,0,5318,51.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,53.0
1978,140879049,-80.83527967347722,35.1932343040148,square,100.0,100,44,False,,100.0,2021-07-26 17:52,343.8 secs,,0,5317,54.0,3.0,17.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,53.0
1977,140879048,-80.84078189115907,35.1932343040148,square,100.0,100,44,False,,100.0,2021-07-26 17:47,181.4 secs,,0,5316,86.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,53.0
1976,140879047,-80.84628410884093,35.1932343040148,square,100.0,100,44,False,,100.0,2021-07-26 17:44,337.3 secs,,0,5315,47.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,13.0,53.0
1975,140879046,-80.85178632652278,35.1932343040148,square,100.0,100,44,False,,100.0,2021-07-26 17:38,318.6 secs,,0,5314,45.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,53.0
1974,140879045,-80.85728854420464,35.1932343040148,square,100.0,100,44,False,,100.0,2021-07-26 17:33,593.9 secs,,0,5313,22.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,53.0
270,141074058,-86.13239899961638,39.79385361434543,square,100.0,100,39,False,,100.0,2021-07-27 16:38,58.1 secs,,0,10811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,36.0,108.0
335,141074123,-78.38221478280214,43.13797335442517,square,100.0,100,52,False,,100.0,2021-07-27 16:09,56.6 secs,,0,11002,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
334,141074122,-78.38837584141999,43.13797335442517,square,100.0,100,52,False,,100.0,2021-07-27 16:08,272.0 secs,,0,11001,73.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
333,141074121,-78.37297319487537,43.12673183435118,square,100.0,100,52,False,,100.0,2021-07-27 16:03,1013.0 secs,,0,11000,40.0,35.0,0.0,0.0,0.0,0.0,22.0,0.0,3.0,0.0,0.0,0.0,0.0,110.0
295,141074083,-86.12654729873604,39.77586718222705,square,100.0,100,39,False,,100.0,2021-07-27 19:08,198.0 secs,,0,10836,59.0,6.0,15.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,6.0,108.0
294,141074082,-86.13239899961638,39.77586718222705,square,100.0,100,39,False,,100.0,2021-07-27 19:04,406.0 secs,,0,10835,38.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,108.0
293,141074081,-86.13825070049671,39.77586718222705,square,100.0,100,39,False,,100.0,2021-07-27 18:58,221.5 secs,,0,10834,31.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,108.0
292,141074080,-86.14410240137704,39.77586718222705,square,100.0,100,39,False,,100.0,2021-07-27 18:54,61.5 secs,,0,10833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,64.0,30.0,108.0
