,plot_id,center_lon,center_lat,size_m,shape,sample_points,email,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,pl_plotid,Land Cover Elements:Trees_CanopyCover,Land Cover Elements:bush/scrub,Land Cover Elements:grass,Land Cover Elements:cultivated vegetation,Land Cover Elements:Water>treated pool,Land Cover Elements:Water>lake/ponded/container,Land Cover Elements:Water>rivers/stream,Land Cover Elements:Water>irrigation ditch,Land Cover Elements:shadow,Land Cover Elements:unknown,Land Cover Elements:Bare Ground,Land Cover Elements:Building,Land Cover Elements:Impervious Surface (no building),AOI Number
31,140877102,-89.58358109662937,43.06558547992602,square,100.0,100,2,False,,94.0,2021-07-20 20:32,85.9 secs,,0,31,0.0,3.0,0.0,82.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,6.0,0.0
25,140877096,-89.58358109662937,43.07008208795561,square,100.0,100,2,False,,93.0,2021-07-20 20:30,65.0 secs,,0,25,31.0,8.0,0.0,43.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,10.0,0.0
29,140877100,-89.55895694202236,43.07008208795561,square,100.0,100,2,False,,93.0,2021-07-20 17:37,148.6 secs,,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,26.0,0.0
17,140877088,-89.55895694202236,43.0790753040148,square,100.0,100,2,False,,92.0,2021-07-20 20:25,60.5 secs,,0,17,0.0,4.0,0.0,20.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,16.0,44.0,0.0
22,140877093,-89.56511298067412,43.07457869598521,square,100.0,100,2,False,,92.0,2021-07-20 20:28,25.1 secs,,0,22,10.0,2.0,13.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
32,140877103,-89.57742505797762,43.06558547992602,square,100.0,100,2,False,,90.0,2021-07-20 20:33,55.0 secs,,0,32,0.0,2.0,0.0,25.0,0.0,0.0,0.0,0.0,7.0,4.0,28.0,14.0,20.0,0.0
33,140877104,-89.57126901932587,43.06558547992602,square,100.0,100,2,False,,90.0,2021-07-20 20:34,20.6 secs,,0,33,3.0,5.0,20.0,27.0,0.0,0.0,0.0,0.0,9.0,0.0,21.0,5.0,10.0,0.0
35,140877106,-89.55895694202236,43.06558547992602,square,100.0,100,2,False,,90.0,2021-07-20 20:34,22.7 secs,,0,35,75.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,140877105,-89.56511298067412,43.06558547992602,square,100.0,100,2,False,,90.0,2021-07-20 20:34,8.1 secs,,0,34,0.0,0.0,6.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,140877107,-89.55280090337061,43.06558547992602,square,100.0,100,2,False,,90.0,2021-07-20 20:34,7.5 secs,,0,36,0.0,0.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,49.0,0.0,30.0,0.0
12,140877083,-89.55280090337061,43.0835719120444,square,100.0,100,2,False,,90.0,2021-07-20 20:23,63.3 secs,,0,12,1.0,2.0,0.0,56.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,24.0,0.0
8,140877079,-89.57742505797762,43.0835719120444,square,100.0,100,2,False,,90.0,2021-07-20 00:23,149.9 secs,,0,8,93.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0
9,140877080,-89.57126901932587,43.0835719120444,square,100.0,100,2,False,,90.0,2021-07-20 00:25,135.6 secs,,0,9,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,8.0,0.0,0.0,0.0
27,140877098,-89.57126901932587,43.07008208795561,square,100.0,100,2,False,,90.0,2021-07-20 20:31,31.9 secs,,0,27,19.0,0.0,5.0,53.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,0.0
21,140877092,-89.57126901932587,43.07457869598521,square,100.0,100,2,False,,90.0,2021-07-20 20:27,22.3 secs,,0,21,7.0,4.0,33.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,34.0,0.0
5,140877076,-89.55895694202236,43.08806852007399,square,100.0,100,2,False,,90.0,2021-07-20 00:16,234.5 secs,,0,5,82.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
4,140877075,-89.56511298067412,43.08806852007399,square,100.0,100,2,False,,87.0,2021-07-20 00:12,197.1 secs,,0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,93.0,0.0,0.0,0.0
11,140877082,-89.55895694202236,43.0835719120444,square,100.0,100,2,False,,86.0,2021-07-20 00:36,494.6 secs,,0,11,13.0,1.0,10.0,53.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,18.0,0.0
16,140877087,-89.56511298067412,43.0790753040148,square,100.0,100,2,False,,85.0,2021-07-20 20:24,31.5 secs,,0,16,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,140877091,-89.57742505797762,43.07457869598521,square,100.0,100,2,False,,85.0,2021-07-20 20:27,17.2 secs,,0,20,36.0,16.0,12.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0
2,140877073,-89.57742505797762,43.08806852007399,square,100.0,100,2,False,,85.0,2021-07-19 23:57,507.7 secs,,0,2,15.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
10,140877081,-89.56511298067412,43.0835719120444,square,100.0,100,2,False,,85.0,2021-07-20 00:28,164.8 secs,,0,10,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0
24,140877095,-89.55280090337061,43.07457869598521,square,100.0,100,2,False,,85.0,2021-07-20 20:29,59.6 secs,,0,24,30.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,37.0,0.0
23,140877094,-89.55895694202236,43.07457869598521,square,100.0,100,2,False,,83.0,2021-07-20 20:28,18.7 secs,,0,23,12.0,2.0,1.0,60.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,22.0,0.0
3,140877074,-89.57126901932587,43.08806852007399,square,100.0,100,2,False,,80.0,2021-07-20 00:09,743.8 secs,,0,3,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,33.0,0.0,0.0,0.0
15,140877086,-89.57126901932587,43.0790753040148,square,100.0,100,2,False,,80.0,2021-07-20 00:54,107.6 secs,,0,15,6.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,8.0,0.0,68.0,0.0,0.0,0.0
19,140877090,-89.58358109662937,43.07457869598521,square,100.0,100,2,False,,80.0,2021-07-20 20:27,57.0 secs,,0,19,27.0,13.0,42.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,11.0,0.0
